Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
INQUIRE,d'aɪn-ti,2,2,pseudo,filler,FALSE
MAGIC,l'i-dəz,2,2,pseudo,filler,FALSE
AHOY,p'æn-k'ɝst,2,2,pseudo,filler,FALSE
ALLOW,ə-heɪk,2,2,pseudo,filler,FALSE
GANGSTER,ɛks-f'oʊl,2,2,pseudo,filler,FALSE
KITCHEN,j'ɑ-lən,2,2,pseudo,filler,FALSE
SICKLE,g'ɔɪ-gi,2,2,pseudo,filler,FALSE
HIKING,ɪg-z'ɪɹz,2,2,pseudo,filler,FALSE
MANY,p'ɛ-dʒəlz,2,2,pseudo,filler,FALSE
OUTCOME,d'æ-kən,2,2,pseudo,filler,FALSE
TWINKLE,p'ɪ-bɚ,2,2,pseudo,filler,FALSE
DEMI,v'ɪ-vɪt,2,2,pseudo,filler,FALSE
SHOULDER,dɚ-v'oʊ,2,2,pseudo,filler,FALSE
MANNER,n'ɪ-tət,2,2,pseudo,filler,FALSE
TREASURE,ʃɹ'ɪ-gɚ,2,2,pseudo,filler,FALSE
BORROW,ə-s'ilz,2,2,pseudo,filler,FALSE
MENTAL,b'ɪ-bən,2,2,pseudo,filler,FALSE
PEBBLE,p'ɔ-vɪŋ,2,2,pseudo,filler,FALSE
CORAL,ə-n'eɪn,2,2,pseudo,filler,FALSE
EXTRA,ɪl-t'ɛl,2,2,pseudo,filler,FALSE
MESSAGE,b'ʌ-kəs,2,2,pseudo,filler,FALSE
ESSAY,l'æl-klədʒ,2,2,pseudo,filler,FALSE
CASTLE,'oʊ-kəm,2,2,pseudo,filler,FALSE
GLORY,f'ɛɹ-gɚ,2,2,pseudo,filler,FALSE
TELLER,sɚ-v'eɪk,2,2,pseudo,filler,FALSE
IMPACT,d'ʌ-vəs,2,2,pseudo,filler,FALSE
OUTLET,ku-f'ʌn,2,2,pseudo,filler,FALSE
COOLER,p'ɪ-dən,2,2,pseudo,filler,FALSE
ARTIST,d'oʊs-mənt,2,2,pseudo,filler,FALSE
WELCOME,f'aɪ-neɪl,2,2,pseudo,filler,FALSE
SKILLET,k'ɑn-dɛld,2,2,pseudo,filler,FALSE
HITCHHIKE,ɪn-z'oʊl,2,2,pseudo,filler,FALSE
DECAY,f'ɪ-mɚ,2,2,pseudo,filler,FALSE
BUSY,'æs-wɑlt,2,2,pseudo,filler,FALSE
HOBO,w'ɛn-toʊ,2,2,pseudo,filler,FALSE
SUBJECT,l'eɪl-nɪŋ,2,2,pseudo,filler,FALSE
LANDSCAPE,w'æ-dən,2,2,pseudo,filler,FALSE
CORRECT,'aɪ-pəl,2,2,pseudo,filler,FALSE
UPDATE,tʃ'ud-lət,2,2,pseudo,filler,FALSE
LOW,SHRUB,1,1,real,filler,FALSE
HALF,HUT,1,1,real,filler,FALSE
THERE,SLAY,1,1,real,filler,FALSE
OUNCE,TURN,1,1,real,filler,FALSE
DEATH,TOE,1,1,real,filler,FALSE
BLOUSE,THREAT,1,1,real,filler,FALSE
BLEND,OLD,1,1,real,filler,FALSE
SNEEZE,SIDE,1,1,real,filler,FALSE
TANK,ALL,1,1,real,filler,FALSE
TALL,GONE,1,1,real,filler,FALSE
SKIP,SWISS,1,1,real,filler,FALSE
TACK,JUNK,1,1,real,filler,FALSE
TEASE,JOG,1,1,real,filler,FALSE
GIRL,VAST,1,1,real,filler,FALSE
CAP,TWIG,1,1,real,filler,FALSE
DROP,CLOTHES,1,1,real,filler,FALSE
PRUNE,LEAK,1,1,real,filler,FALSE
MORSE,PLEASE,1,1,real,filler,FALSE
SCALE,GUYS,1,1,real,filler,FALSE
SONG,TIGHT,1,1,real,filler,FALSE
SLIDE,CHUNK,1,1,real,filler,FALSE
SOCKS,DIM,1,1,real,filler,FALSE
SLING,HOLE,1,1,real,filler,FALSE
BOOK,JUMP,1,1,real,filler,FALSE
RACE,STENCH,1,1,real,filler,FALSE
FIRST,PICKLES,1,2,real,filler,FALSE
SCARF,BORDER,1,2,real,filler,FALSE
CASE,SEASHORE,1,2,real,filler,FALSE
SWING,COBRA,1,2,real,filler,FALSE
HIGH,WHISKEY,1,2,real,filler,FALSE
SHIFT,PERFORM,1,2,real,filler,FALSE
COUGH,PAPER,1,2,real,filler,FALSE
GRAIN,BILLBOARD,1,2,real,filler,FALSE
NOUN,CROCHET,1,2,real,filler,FALSE
SWOON,DOZEN,1,2,real,filler,FALSE
GREASE,AIRPORT,1,2,real,filler,FALSE
FIGHT,COFFEE,1,2,real,filler,FALSE
SHOVE,CIRCLE,1,2,real,filler,FALSE
PRIME,TRAUMA,1,2,real,filler,FALSE
HOLD,WHISTLE,1,2,real,filler,FALSE
STEEP,SHINGLE,1,2,real,filler,FALSE
LAUGH,JOURNEY,1,2,real,filler,FALSE
MUG,UNLOAD,1,2,real,filler,FALSE
LOSS,MONKEY,1,2,real,filler,FALSE
BRICK,ATTEND,1,2,real,filler,FALSE
DO,COMPACT,1,2,real,filler,FALSE
AIR,UNTRUE,1,2,real,filler,FALSE
GRAPE,RETREAT,1,2,real,filler,FALSE
FOAM,BARGAIN,1,2,real,filler,FALSE
QUENCH,DISLIKE,1,2,real,filler,FALSE
PARKING,HE,2,1,real,filler,FALSE
DISTANCE,FEED,2,1,real,filler,FALSE
DISHES,FOUR,2,1,real,filler,FALSE
PLIERS,LICK,2,1,real,filler,FALSE
IRON,SNOB,2,1,real,filler,FALSE
CUSHION,DEAL,2,1,real,filler,FALSE
KEEPER,BEEF,2,1,real,filler,FALSE
LEVER,TOMB,2,1,real,filler,FALSE
BASHFUL,MALL,2,1,real,filler,FALSE
LITTER,DAWN,2,1,real,filler,FALSE
BLACKBOARD,BOUND,2,1,real,filler,FALSE
REMAIN,TONE,2,1,real,filler,FALSE
EXCISE,LIKE,2,1,real,filler,FALSE
SPIDER,GAL,2,1,real,filler,FALSE
BANDAID,PHONE,2,1,real,filler,FALSE
WEEKEND,HIDE,2,1,real,filler,FALSE
COMPLAIN,THRIFT,2,1,real,filler,FALSE
MEMBER,LAP,2,1,real,filler,FALSE
OYSTER,TWIST,2,1,real,filler,FALSE
SCAPEGOAT,MOIST,2,1,real,filler,FALSE
DISPLAY,LINT,2,1,real,filler,FALSE
MAGGOT,GLOBE,2,1,real,filler,FALSE
REPAIR,CUSS,2,1,real,filler,FALSE
SCULPTURE,QUIZ,2,1,real,filler,FALSE
CREATE,FAN,2,1,real,filler,FALSE
REFUSE,PLAZA,2,2,real,filler,FALSE
LASTING,FORMAL,2,2,real,filler,FALSE
CAMPING,COMMENT,2,2,real,filler,FALSE
GOING,BUGLE,2,2,real,filler,FALSE
EVEN,BELIEVE,2,2,real,filler,FALSE
POSTAGE,JESUS,2,2,real,filler,FALSE
RAISIN,TRANSPLANT,2,2,real,filler,FALSE
PLASTER,DONKEY,2,2,real,filler,FALSE
SABER,EFFORT,2,2,real,filler,FALSE
ERECT,VACATE,2,2,real,filler,FALSE
EMBRACE,LOBSTER,2,2,real,filler,FALSE
FIGURE,AIRPLANE,2,2,real,filler,FALSE
TABLET,SKINNY,2,2,real,filler,FALSE
FINISHED,ANTLERS,2,2,real,filler,FALSE
SLANDER,QUARTER,2,2,real,filler,FALSE
MISTER,CHICKEN,2,2,real,filler,FALSE
UPTIGHT,MUTTON,2,2,real,filler,FALSE
TREBLE,HULA,2,2,real,filler,FALSE
CIGAR,DISPERSE,2,2,real,filler,FALSE
OFFICE,SUBTLE,2,2,real,filler,FALSE
WEAKNESS,CANYON,2,2,real,filler,FALSE
MEADOW,IGLOO,2,2,real,filler,FALSE
TEMPLE,MOVIE,2,2,real,filler,FALSE
ACRE,TECHNIQUE,2,2,real,filler,FALSE
HATCHET,GARBAGE,2,2,real,filler,FALSE
